"Expense Type",Description,"Expense Amount","Expense Date","Expense Files","Expense Loan#","Bank Account"
"ADW Enterprises Ltd (Interest)",,2583.33,02/03/2021,,1000008,"Starling Bank"
"ADW Enterprises Ltd (Interest)",,687.50,02/03/2021,,1000002,"Starling Bank"
"ADW Enterprises Ltd (Interest)",,1791.67,02/03/2021,,1000011,"Starling Bank"
"ADW Enterprises Ltd (Interest)",,2833.33,02/03/2021,,1000012,"Starling Bank"
"ADW Enterprises Ltd (Interest)",,1250.00,02/03/2021,,1000013,"Starling Bank"
"Computer Software",Google,27.60,02/03/2021,,N/A,"Starling Bank"
"ADW Enterprises Ltd (Interest)","paid ADW 12737.12 interest and 147263 capital",12737.12,10/03/2021,,1000005,"Starling Bank"
"ADW Enterprises Ltd (Interest)",,7374.24,01/04/2021,,1000003,"Starling Bank"
"ADW Enterprises Ltd (Interest)",,1822.16,01/04/2021,,1000005,"Starling Bank"
"ADW Enterprises Ltd (Interest)",,3954.24,01/04/2021,,1000004,"Starling Bank"
"ADW Enterprises Ltd (Interest)",,3583.33,01/04/2021,,1000009,"Starling Bank"
"ADW Enterprises Ltd (Interest)",,2583.35,01/04/2021,,1000008,"Starling Bank"
"ADW Enterprises Ltd (Interest)",,687.50,01/04/2021,,1000002,"Starling Bank"
"ADW Enterprises Ltd (Interest)",,1791.67,01/04/2021,,1000011,"Starling Bank"
"ADW Enterprises Ltd (Interest)",,2833.33,01/04/2021,,1000012,"Starling Bank"
"Computer Software",Loandisk,65.07,20/03/2021,,N/A,"Starling Bank"
"Computer Software","34sp domain",9.95,05/03/2021,,N/A,"Starling Bank"
"ADW Enterprises Ltd (Interest)",,1250.00,02/04/2021,,1000013,"Starling Bank"
"ADW Enterprises Ltd (Interest)",,542.29,08/04/2021,,1000005,"Starling Bank"
"Computer Software",google,27.60,02/04/2021,,N/A,"Starling Bank"
"Computer Software","34sp - domain",9.95,05/04/2021,,N/A,"Starling Bank"
"ADW Enterprises Ltd (Interest)","Interest payment from 360 funds",20000.00,09/04/2021,,1000001,"Starling Bank"
"ADW Enterprises Ltd (Interest)","Interest payment from 360 funds",20000.00,10/04/2021,,1000001,"Starling Bank"
"ADW Enterprises Ltd (Interest)","Interest payment from 360 funds",7916.00,11/04/2021,,1000001,"Starling Bank"
"Computer Software",Loandisk,65.16,20/04/2021,,N/A,"Starling Bank"
"ADW Enterprises Ltd (Interest)",,3338.39,29/04/2021,,1000004,"Starling Bank"
"ADW Enterprises Ltd (Interest)",,1555.84,05/05/2021,,1000003,"Starling Bank"
"ADW Enterprises Ltd (Interest)",,682.87,05/05/2021,,1000001,"Starling Bank"
"ADW Enterprises Ltd (Interest)",,3574.33,05/05/2021,,1000009,"Starling Bank"
"ADW Enterprises Ltd (Interest)",,687.50,05/05/2021,,1000002,"Starling Bank"
"ADW Enterprises Ltd (Interest)",,1791.67,05/05/2021,,1000011,"Starling Bank"
"ADW Enterprises Ltd (Interest)",,2833.33,05/05/2021,,1000012,"Starling Bank"
"ADW Enterprises Ltd (Interest)",,1250.00,05/05/2021,,1000013,"Starling Bank"
"ADW Enterprises Ltd (Interest)",,1256.90,04/06/2021,,1000003,"Starling Bank"
"ADW Enterprises Ltd (Interest)",,1868.68,04/06/2021,,1000001,"Starling Bank"
"ADW Enterprises Ltd (Interest)",,3583.33,04/06/2021,,1000009,"Starling Bank"
"ADW Enterprises Ltd (Interest)",,687.50,04/06/2021,,1000002,"Starling Bank"
"ADW Enterprises Ltd (Interest)",,1791.67,04/06/2021,,1000011,"Starling Bank"
"ADW Enterprises Ltd (Interest)",,2833.33,04/06/2021,,1000012,"Starling Bank"
"ADW Enterprises Ltd (Interest)",,1250.00,04/06/2021,,1000013,"Starling Bank"
"ADW Enterprises Ltd (Interest)",,2718.08,04/06/2021,,1000008,"Starling Bank"
"Computer Software",google,27.60,01/06/2021,,N/A,"Starling Bank"
"Computer Software",loandisk,63.69,20/05/2021,,N/A,"Starling Bank"
"Computer Software","34sp - hosting/domain",19.90,08/05/2021,,N/A,"Starling Bank"
"Grove Park Finance Commission",,1500.00,10/06/2021,,1000014,"Starling Bank"
"ADW Enterprises Ltd (Interest)",,3583.33,02/07/2021,,1000009,"Starling Bank"
"ADW Enterprises Ltd (Interest)",,1127.84,02/07/2021,,1000003,"Starling Bank"
"ADW Enterprises Ltd (Interest)",,1687.84,02/07/2021,,1000001,"Starling Bank"
"ADW Enterprises Ltd (Interest)",,1189.16,02/07/2021,,1000008,"Starling Bank"
"ADW Enterprises Ltd (Interest)",,687.50,02/07/2021,,1000002,"Starling Bank"
"ADW Enterprises Ltd (Interest)",,1791.67,02/07/2021,,1000011,"Starling Bank"
"ADW Enterprises Ltd (Interest)",,2833.33,02/07/2021,,1000012,"Starling Bank"
"ADW Enterprises Ltd (Interest)",,1791.67,02/07/2021,,1000014,"Starling Bank"
"ADW Enterprises Ltd (Interest)",,1250.00,02/07/2021,,1000013,"Starling Bank"
"Computer Software",loandisk,65.23,20/06/2021,,N/A,"Starling Bank"
"ADW Enterprises Ltd (Interest)",,1409.80,05/08/2021,,1000003,"Starling Bank"
"ADW Enterprises Ltd (Interest)",,2109.80,05/08/2021,,1000001,"Starling Bank"
"ADW Enterprises Ltd (Interest)",,3583.33,05/08/2021,,1000009,"Starling Bank"
"ADW Enterprises Ltd (Interest)",,1486.45,05/08/2021,,1000008,"Starling Bank"
"ADW Enterprises Ltd (Interest)",,687.50,05/08/2021,,1000002,"Starling Bank"
"ADW Enterprises Ltd (Interest)",,2833.33,05/08/2021,,1000012,"Starling Bank"
"ADW Enterprises Ltd (Interest)",,1791.67,05/08/2021,,1000014,"Starling Bank"
"ADW Enterprises Ltd (Interest)",,1250.00,05/08/2021,,1000013,"Starling Bank"
"ADW Enterprises Ltd (Interest)",,368.00,06/08/2021,,1000011,"Starling Bank"
"Bank/Finance Charges","Bound Back Loan (563.60 - 462.96 is capital shown as a payment in branch capital) = 100.64",100.64,13/07/2021,,N/A,"Starling Bank"
"Computer Software","34sp - domain etc",9.95,05/07/2021,,N/A,"Starling Bank"
"Computer Software",loandisk,65.88,20/07/2021,,N/A,"Starling Bank"
"Computer Software",google,27.60,02/08/2021,,N/A,"Starling Bank"
"Computer Software","34sp domain",9.95,05/08/2021,,N/A,"Starling Bank"
"Grove Park Finance Commission",,1500.00,24/08/2021,,1000015,"Starling Bank"
"ADW Enterprises Ltd (Interest)",,1127.84,01/09/2021,,1000003,"Starling Bank"
"ADW Enterprises Ltd (Interest)",,1687.84,01/09/2021,,1000001,"Starling Bank"
"ADW Enterprises Ltd (Interest)",,3583.33,01/09/2021,,1000009,"Starling Bank"
"ADW Enterprises Ltd (Interest)",,1189.16,01/09/2021,,1000008,"Starling Bank"
"ADW Enterprises Ltd (Interest)",,2833.33,01/09/2021,,1000012,"Starling Bank"
"ADW Enterprises Ltd (Interest)",,1791.67,01/09/2021,,1000014,"Starling Bank"
"ADW Enterprises Ltd (Interest)",,1250.00,01/09/2021,,1000013,"Starling Bank"
"ADW Enterprises Ltd (Interest)",,687.50,03/09/2021,,1000002,"Starling Bank"
"Computer Software",google,27.60,02/09/2021,,N/A,"Starling Bank"
"Computer Software",loandisk,65.92,20/08/2021,,N/A,"Starling Bank"
"Bank/Finance Charges","Bound Back Loan Interest (565.99 - 462.96 capital (note  capital shown as a payment in branch capital)",103.03,13/08/2021,,N/A,"Starling Bank"
"ADW Enterprises Ltd (Interest)",,1248.68,05/10/2021,,1000003,"Starling Bank"
"ADW Enterprises Ltd (Interest)",,1845.72,05/10/2021,,1000001,"Starling Bank"
"ADW Enterprises Ltd (Interest)",,3583.33,05/10/2021,,1000009,"Starling Bank"
"ADW Enterprises Ltd (Interest)",,1316.57,05/10/2021,,1000008,"Starling Bank"
"ADW Enterprises Ltd (Interest)",,592.34,05/10/2021,,1000002,"Starling Bank"
"ADW Enterprises Ltd (Interest)",,2833.33,05/10/2021,,1000012,"Starling Bank"
"ADW Enterprises Ltd (Interest)",,1791.67,05/10/2021,,1000014,"Starling Bank"
"ADW Enterprises Ltd (Interest)",,1250.00,05/10/2021,,1000013,"Starling Bank"
"ADW Enterprises Ltd (Interest)",,958.33,05/10/2021,,1000013,"Starling Bank"
"Computer Software","34sp hosting",9.95,05/09/2021,,N/A,"Starling Bank"
"Bank/Finance Charges","Bound Back Loan (565.01 - 462.96 is capital shown as a payment in branch capital) = 100.64",102.05,13/09/2021,,N/A,"Starling Bank"
"Computer Software",loandisk,65.50,20/09/2021,,N/A,"Starling Bank"
"Computer Software",Google,27.60,02/10/2021,,N/A,"Starling Bank"
"Computer Software","34sp hosting",9.95,05/10/2021,,N/A,"Starling Bank"
"Bank/Finance Charges","97.82	Bound Back Loan (560.78 - 462.96 is capital shown as a payment in branch capital) = 97.82",97.82,13/10/2021,,N/A,"Starling Bank"
